event_source_concept_id,target_concept_id
11204-5,1204
11208-6,1821
1121-3,1146
11210-2,1823
11212-8,638
1122-1,1131
11221-9,638
11222-7,638
11225-0,638
11228-4,638
1123-9,1131
11230-0,673
11238-3,662
1124-7,1131
11246-6,659
11251-6,1659
11253-2,1377
11254-0,1308
11258-1,4120
11259-9,4123
11260-7,1754
11261-5,5204
11267-2,5204
11268-0,5209
11271-4,1104
11272-2,1104
11273-0,1104
11274-8,1104
11275-5,1104
11276-3,219
11277-1,219
11278-9,219
11279-7,219
11280-5,1104
11281-3,1104
11282-1,1104
113-1,270
1133-8,1131
1134-6,1131
1135-3,1131
1136-1,1146
1137-9,1146
1138-7,1146
1139-5,1131
114-9,277
1140-3,1131
1141-1,1131
1142-9,1131
1143-7,1131
1144-5,1131
1145-2,1146
1146-0,1146
1147-8,1146
11470-2,5207
11474-4,5222
11475-1,5222
11476-9,5231
11477-7,5210
11478-5,5207
11479-3,5215
11480-1,5201
11484-3,4204
1154-4,1131
11545-1,5222
11546-9,5222
1155-1,1131
11550-1,5284
11555-0,999
11556-8,999
11557-6,999
11558-4,999
11559-2,999
1156-9,1131
11565-9,1457
11566-7,1472
1157-7,1145
11570-9,163
11572-5,1452
11573-3,1452
11575-8,270
11576-6,270
11577-4,270
11578-2,270
11579-0,1208
1158-5,1145
11580-8,1208
1159-3,1145
11598-0,1431
116-4,270
1160-1,1131
1161-9,1131
1162-7,1131
1163-5,1145
1164-3,1145
1165-0,1145
1166-8,1131
1167-6,1131
1168-4,1131
1169-2,1146
117-2,270
1170-0,1146
1171-8,1146
118-0,277
1184-1,1131
1185-8,1131
1186-6,1131
1190-8,1131
1191-6,1131
1192-4,1131
1193-2,1145
1194-0,1145
1195-7,1145
1199-9,1131
12-5,270
120-6,270
1200-5,1131
1201-3,1131
1202-1,1146
1203-9,1146
1204-7,1146
1205-4,1146
1206-2,1146
1207-0,1146
1208-8,1131
1209-6,1131
121-4,270
1210-4,1131
1211-2,1146
1212-0,1146
1213-8,1146
1214-6,1131
1215-3,1131
1216-1,1131
1217-9,1146
12174-9,1633
12178-0,5204
1218-7,1146
12189-7,1526
1219-5,1146
12195-4,407
122-2,277
1220-3,1131
12200-2,1573
12201-0,1573
12202-8,1573
12203-6,1573
12204-4,1573
12205-1,1573
12206-9,1573
12207-7,1573
1221-1,1131
12210-1,219
12211-9,5202
12212-7,1715
12217-6,1633
1222-9,1131
12221-8,3786
12224-2,5209
12225-9,5210
12226-7,5202
12227-5,1104
1223-7,1146
12232-5,4262
12235-8,219
12237-4,4252
1224-5,1146
12241-6,1112
12246-5,638
12248-1,219
1225-2,1146
12251-5,4265
12255-6,221
12258-0,219
1226-0,1131
12261-4,1431
12262-2,1431
12269-7,631
1227-8,1131
12270-5,638
12272-1,4204
12275-4,5204
1228-6,1131
12281-2,5204
12285-3,1181
1229-4,1146
1230-2,1146
1231-0,1146
12311-7,662
12313-3,672
12314-1,667
12315-8,672
12319-0,662
1232-8,1146
12321-6,662
12323-2,662
1233-6,1146
1234-4,1146
1235-1,1131
1236-9,1131
12360-4,672
12361-2,667
12362-0,1667
12364-6,667
